Date,Banque,Libellé,Montant,Tag,Type
"2025""/01/""31",CMB,Vers compte commun,-2000.00€,caché
"2025""/01/""30",CMB,Salaire Arkea,1827.96€,salaire
"2025""/01/""27",CMB,Basic Fit,-19.99€,sport
"2025""/01/""27",CMB,Mutuelle Génération,9.00€,santé,remboursement
"2025""/01/""15",CMB,Mutuelle Génération,9.00€,santé,remboursement
"2025""/01/""14",CMB,Bureau Vallee,-8.98€,matériel
"2025""/01/""09",CMB,Forever : Assurance prêt,-61.97€,loyer
"2025""/01/""07",CMB,Cotisation eurocompte,-5.04€,banque
"2025""/01/""06",CMB,Assurance prêt,-14.72€,loyer
"2025""/01/""05",CMB,Echeance prêt principal,-518.38€,loyer
"2025""/01/""05",CMB,Echeance prêt taux zéro,-125.52€,loyer
"2025""/01/""01",CMB,Mensualité appel de fond Syndic,-89.20€,loyer
