Date,Banque,Libellé,Montant,Tag,Type
"2024""/10/""31",CMB,Vers compte commun,-1500.00€,caché
"2024""/10/""30",CMB,Salaire Arkea,1924.79€,salaire
"2024""/10/""12",CMB,Vers compte commun,-1300.00€,caché
"2024""/10/""08",CMB,Cotisation eurocompte,-4.90€,banque
"2024""/10/""07",CMB,Assurrance prêt,-14.72€,loyer
"2024""/10/""05",CMB,Vers compte commun,-300.00€,caché
"2024""/10/""05",CMB,Mensualité appel de fond Syndic,-799.97€,loyer
"2024""/10/""05",CMB,Echeance prêt principal,-544.26€,loyer
"2024""/10/""05",CMB,Echeance prêt taux zéro,-127.79€,loyer
"2024""/10/""01",CMB,Mensualité appel de fond Syndic,-89.20€,loyer
