Date,Banque,Libellé,Montant,Tag,Type
"2024""/09/""27",CMB,Salaire Arkea,2994.33€,salaire
"2024""/09/""25",CMB,Nintendo,-19.49€,culture
"2024""/09/""24",CMB,Basic Fit,-19.99€,sport
"2024""/09/""18",CMB,Virement Steph,20.00€,bouffe,remboursement
"2024""/09/""16",CMB,Virement Dilan,150.00€,autre,remboursement
"2024""/09/""15",CMB,Vers compte commun,-1200.00€,caché
"2024""/09/""07",CMB,Cotisation eurocompte,-1.89€,banque
"2024""/09/""05",CMB,Assurrance prêt,-14.72€,loyer
"2024""/09/""05",CMB,Self Arkéa,-4.99€,bouffe
"2024""/09/""05",CMB,Tartines d'autrefois,-2.50€,bouffe
"2024""/09/""05",CMB,Echeance prêt principal,-544.26€,loyer
"2024""/09/""05",CMB,Echeance prêt taux zéro,-127.79€,loyer
"2024""/09/""04",CMB,Self Arkéa,-100.00€,bouffe
"2024""/09/""01",CMB,Vers compte commun,-1500.00€,caché
"2024""/09/""01",CMB,Mensualité appel de fond Syndic,-89.20€,loyer
